rap;pt;zed;jetpt;jetrap;cent;Model_Jpsi_PP;N_Jpsi_PP;m_Jpsi_PP;sigma1_Jpsi_PP;rSigma21_Jpsi_PP;alpha_Jpsi_PP;n_Jpsi_PP;f_Jpsi_PP
0.0-1.6;6.5-40.0;0.0-1.0;40-100;0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.020,0.01,0.04];[1.50,1.0,5.0];[2.03];[1.239];[0.5,0.0,1.0]
0.0-1.6;6.5-40.0;0.0-0.1;40-100;0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.020,0.01,0.04];[1.89,1.0,5.0];[2.03];[1.239];[0.5,0.0,1.0]
0.0-1.6;6.5-40.0;0.1-0.2;40-100;0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.020,0.01,0.04];[1.89,1.0,5.0];[2.03];[0.723];[0.5,0.0,1.0]
0.0-1.6;6.5-40.0;0.2-0.3;40-100;0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.020,0.01,0.04];[1.89,1.0,5.0];[2.03];[0.901];[0.5,0.0,1.0]
0.0-1.6;6.5-40.0;0.3-0.4;40-100;0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.020,0.01,0.04];[1.89,1.0,5.0];[2.03];[1.061];[0.5,0.0,1.0]
0.0-1.6;6.5-40.0;0.4-0.5;40-100;0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.020,0.01,0.04];[1.89,1.0,5.0];[2.03];[1.167];[0.5,0.0,1.0]
0.0-1.6;6.5-40.0;0.5-0.6;40-100;0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.020,0.01,0.04];[1.89,1.0,5.0];[2.03];[1.234];[0.5,0.0,1.0]
0.0-1.6;6.5-40.0;0.6-0.7;40-100;0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.020,0.01,0.04];[1.89,1.0,5.0];[2.03];[1.321];[0.5,0.0,1.0]
0.0-1.6;6.5-40.0;0.7-0.8;40-100;0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.020,0.01,0.04];[1.89,1.0,5.0];[2.03];[1.409];[0.5,0.0,1.0]
0.0-1.6;6.5-40.0;0.8-0.9;40-100;0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.020,0.01,0.04];[1.89,1.0,5.0];[2.03];[1.632];[0.5,0.0,1.0]
0.0-1.6;6.5-40.0;0.9-1.0;40-100;0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.020,0.01,0.04];[1.89,1.0,5.0];[2.03];[2.445];[0.5,0.0,1.0]
