rap;pt;zed;jetpt;jetrap;cent;Model_Jpsi_PP;N_Jpsi_PP;m_Jpsi_PP;sigma1_Jpsi_PP;rSigma21_Jpsi_PP;alpha_Jpsi_PP;n_Jpsi_PP;f_Jpsi_PP
0.0-1.6;6.5-35.0;0.20-0.40;15.0-25.0;0.0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.020,0.01,0.04];[1.89,1.0,3.5];[1.963];[1.261];[0.49,0.0,1.0]
0.0-1.6;6.5-35.0;0.40-0.60;15.0-25.0;0.0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.020,0.01,0.04];[1.89,1.0,3.5];[1.963];[1.357];[0.49,0.0,1.0]
0.0-1.6;6.5-35.0;0.60-0.80;15.0-25.0;0.0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.020,0.01,0.05];[1.89,1.0,3.0];[1.963];[1.407];[0.5,0.2,1.0]
0.0-1.6;6.5-35.0;0.80-1.00;15.0-25.0;0.0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.020,0.01,0.03];[1.89,1.0,3.0];[1.963];[1.794];[0.5,0.2,1.0]
