rap;pt;zed;jetpt;jetrap;cent;Model_Jpsi_PP;N_Jpsi_PP;m_Jpsi_PP;sigma1_Jpsi_PP;rSigma21_Jpsi_PP;alpha_Jpsi_PP;n_Jpsi_PP;f_Jpsi_PP
0.0-1.6;6.5-35.0;0.20-0.40;25.0-35.0;0.0-2.4;0-100;DoubleCrystalBall;[9000,5000,20000];[3.09,3.04,3.12];[0.015,0.00,0.03];[2.00,0.0,4.0];[2.045];[1.032];[0.5,0.0,1.0]
0.0-1.6;6.5-35.0;0.40-0.60;25.0-35.0;0.0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.015,0.00,0.05];[2.25,0.0,5.0];[2.045];[1.179];[0.2,0.0,1.0]
0.0-1.6;6.5-35.0;0.60-0.80;25.0-35.0;0.0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.020,0.01,0.05];[1.89,1.0,3.0];[2.045];[1.327];[0.5,0.2,1.0]
0.0-1.6;6.5-35.0;0.80-1.00;25.0-35.0;0.0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.020,0.01,0.04];[1.89,1.0,3.0];[2.045];[1.732];[0.5,0.2,1.0]
