rap;pt;zed;jetpt;jetrap;cent;Model_Jpsi_PP;N_Jpsi_PP;m_Jpsi_PP;sigma1_Jpsi_PP;rSigma21_Jpsi_PP;alpha_Jpsi_PP;n_Jpsi_PP;f_Jpsi_PP
0.0-2.4;6.5-35.0;0.40-1.00;25.0-35.0;0.0-2.4;0-100;GaussianAndCrystalBall;;[3.09,3.06,3.1];[0.020,0.015,0.025];[1.89,1.0,3.0];[1.850];[1.236];[0.5,0.2,1.0]
0.0-2.4;6.5-35.0;0.40-0.60;25.0-35.0;0.0-2.4;0-100;GaussianAndCrystalBall;;[3.09,3.06,3.1];[0.020,0.015,0.030];[1.89,1.0,3.0];[1.850];[1.169];[0.5,0.2,1.0]
0.0-2.4;6.5-35.0;0.60-0.80;25.0-35.0;0.0-2.4;0-100;GaussianAndCrystalBall;;[3.09,3.06,3.1];[0.020,0.015,0.030];[1.89,1.0,3.0];[1.850];[1.279];[0.5,0.2,1.0]
0.0-2.4;6.5-35.0;0.80-1.00;25.0-35.0;0.0-2.4;0-100;GaussianAndCrystalBall;;[3.09,3.06,3.1];[0.020,0.015,0.040];[1.89,1.0,7.0];[1.850];[1.664];[0.5,0.2,1.0]
